Date,Amount,Note
2024-01-01,236,restaurant
2024-01-02,157,cafe
2024-01-02,162,metro
2024-01-03,10324,monthly rent / EMI
2024-01-03,399,groceries
2024-01-04,137,zomato
2024-01-04,428,auto
2024-01-05,361,internet bill
2024-01-05,133,swiggy
2024-01-05,152,fuel
2024-01-06,1164,electricity bill
2024-01-06,747,water bill
2024-01-06,770,restaurant
2024-01-06,1448,myntra
2024-01-07,257,restaurant
2024-01-08,1334,gas bill
2024-01-08,395,fuel
2024-01-08,338,apollo
2024-01-09,201,fuel
2024-01-10,83,restaurant
2024-01-11,107,metro
2024-01-12,211,restaurant
2024-01-12,108,metro
2024-01-13,605,swiggy
2024-01-14,342,restaurant
2024-01-15,325,cafe
2024-01-15,238,fuel
2024-01-15,1351,apollo
2024-01-16,269,zomato
2024-01-16,242,uber
2024-01-17,162,restaurant
2024-01-17,245,ola
2024-01-18,96,groceries
2024-01-19,386,uber
2024-01-19,1959,apollo
2024-01-20,363,swiggy
2024-01-21,594,swiggy
2024-01-21,2730,flipkart
2024-01-22,289,zomato
2024-01-23,333,groceries
2024-01-24,108,zomato
2024-01-24,33,fuel
2024-01-25,229,ola
2024-01-26,406,auto
2024-01-27,500,swiggy
2024-01-28,203,cafe
2024-01-28,1179,myntra
2024-01-31,104,cafe
2024-01-31,169,ola
2024-02-01,20649,monthly rent / EMI
2024-02-01,229,fuel
2024-02-02,151,restaurant
2024-02-03,365,zomato
2024-02-04,2419,myntra
2024-02-05,707,electricity bill
2024-02-05,626,gas bill
2024-02-07,300,groceries
2024-02-08,235,cafe
2024-02-09,173,zomato
2024-02-11,751,internet bill
2024-02-11,697,groceries
2024-02-11,829,amazon
2024-02-12,869,water bill
2024-02-12,231,auto
2024-02-13,114,restaurant
2024-02-13,43,uber
2024-02-14,331,restaurant
2024-02-14,99,ola
2024-02-14,473,lab test
2024-02-14,12000,valentines dinner - anomaly
2024-02-15,360,swiggy
2024-02-15,163,ola
2024-02-16,262,fuel
2024-02-18,1437,amazon
2024-02-19,209,swiggy
2024-02-19,480,ola
2024-02-20,455,ola
2024-02-21,274,zomato
2024-02-21,71,ola
2024-02-22,176,restaurant
2024-02-22,306,uber
2024-02-23,60,zomato
2024-02-24,802,restaurant
2024-02-24,282,netflix
2024-02-25,846,groceries
2024-02-25,3168,mall
2024-02-26,66,cafe
2024-02-26,362,uber
2024-02-27,171,cafe
2024-02-28,159,zomato
2024-02-29,342,zomato
2024-03-01,292,swiggy
2024-03-02,12512,monthly rent / EMI
2024-03-02,299,swiggy
2024-03-02,2897,mall
2024-03-03,620,swiggy
2024-03-03,873,mall
2024-03-03,882,spotify
2024-03-03,2325,lab test
2024-03-04,40,auto
2024-03-05,384,groceries
2024-03-05,94,ola
2024-03-06,489,gas bill
2024-03-06,223,groceries
2024-03-06,188,lab test
2024-03-07,147,zomato
2024-03-07,141,ola
2024-03-08,989,water bill
2024-03-08,266,restaurant
2024-03-09,618,internet bill
2024-03-09,455,groceries
2024-03-10,763,groceries
2024-03-10,3341,mall
2024-03-10,1020,movies
2024-03-11,996,electricity bill
2024-03-11,326,groceries
2024-03-12,340,uber
2024-03-14,189,uber
2024-03-14,2388,clinic
2024-03-15,298,swiggy
2024-03-15,189,auto
2024-03-16,610,groceries
2024-03-16,1788,myntra
2024-03-16,1782,dining out
2024-03-17,202,swiggy
2024-03-18,282,cafe
2024-03-18,965,lab test
2024-03-19,334,swiggy
2024-03-20,201,restaurant
2024-03-20,396,metro
2024-03-21,383,metro
2024-03-22,327,groceries
2024-03-22,425,fuel
2024-03-22,18500,emergency hospital bill - anomaly
2024-03-23,258,groceries
2024-03-23,4060,mall
2024-03-23,584,spotify
2024-03-24,714,zomato
2024-03-25,310,groceries
2024-03-26,91,auto
2024-03-27,84,restaurant
2024-03-28,341,restaurant
2024-03-28,249,fuel
2024-03-29,70,zomato
2024-03-29,361,fuel
2024-03-30,797,zomato
2024-03-30,711,flipkart
2024-03-30,468,spotify
2024-03-31,467,restaurant
2024-03-31,3360,mall
2024-03-31,1490,netflix
2024-04-01,10786,monthly rent / EMI
2024-04-01,210,restaurant
2024-04-01,245,ola
2024-04-02,117,cafe
2024-04-02,215,ola
2024-04-03,87,groceries
2024-04-04,338,groceries
2024-04-04,405,auto
2024-04-05,159,zomato
2024-04-05,1914,clinic
2024-04-06,557,groceries
2024-04-06,228,dining out
2024-04-07,3946,amazon
2024-04-07,2492,apollo
2024-04-08,130,swiggy
2024-04-08,443,auto
2024-04-09,388,water bill
2024-04-09,9500,festival shopping - anomaly
2024-04-10,1004,internet bill
2024-04-10,363,zomato
2024-04-10,452,auto
2024-04-11,498,electricity bill
2024-04-11,333,cafe
2024-04-11,466,metro
2024-04-12,1398,gas bill
2024-04-13,337,cafe
2024-04-13,3908,flipkart
2024-04-14,309,zomato
2024-04-15,194,zomato
2024-04-15,260,metro
2024-04-16,225,restaurant
2024-04-17,185,zomato
2024-04-17,372,ola
2024-04-18,76,groceries
2024-04-18,283,fuel
2024-04-19,191,groceries
2024-04-19,138,fuel
2024-04-20,333,cafe
2024-04-20,3919,mall
2024-04-21,652,zomato
2024-04-21,2757,flipkart
2024-04-21,1427,netflix
2024-04-22,337,groceries
2024-04-23,126,zomato
2024-04-23,480,auto
2024-04-24,239,zomato
2024-04-25,270,restaurant
2024-04-25,35,auto
2024-04-26,236,groceries
2024-04-27,1049,spotify
2024-04-28,455,groceries
2024-04-28,1190,lab test
2024-04-29,336,swiggy
2024-04-29,398,ola
2024-04-30,418,metro
2024-05-01,171,restaurant
2024-05-02,281,ola
2024-05-03,10179,monthly rent / EMI
2024-05-03,586,clinic
2024-05-04,811,dining out
2024-05-05,540,swiggy
2024-05-05,1191,spotify
2024-05-06,1075,electricity bill
2024-05-06,900,internet bill
2024-05-06,393,gas bill
2024-05-06,143,ola
2024-05-08,327,fuel
2024-05-09,105,swiggy
2024-05-09,301,fuel
2024-05-10,693,water bill
2024-05-10,411,auto
2024-05-11,3624,mall
2024-05-12,671,cafe
2024-05-12,1272,flipkart
2024-05-13,166,restaurant
2024-05-13,389,ola
2024-05-14,148,swiggy
2024-05-14,158,metro
2024-05-15,85,cafe
2024-05-15,128,fuel
2024-05-16,310,swiggy
2024-05-16,304,metro
2024-05-17,324,cafe
2024-05-17,408,ola
2024-05-18,3676,mall
2024-05-18,1725,dining out
2024-05-18,7800,weekend trip - anomaly
2024-05-19,467,restaurant
2024-05-20,185,groceries
2024-05-20,331,auto
2024-05-21,272,cafe
2024-05-21,81,metro
2024-05-22,210,swiggy
2024-05-22,214,metro
2024-05-23,311,groceries
2024-05-23,392,auto
2024-05-24,345,restaurant
2024-05-24,53,uber
2024-05-24,887,clinic
2024-05-25,646,groceries
2024-05-25,3218,flipkart
2024-05-26,751,restaurant
2024-05-26,2557,myntra
2024-05-27,85,cafe
2024-05-27,387,metro
2024-05-27,1361,apollo
2024-05-28,389,groceries
2024-05-28,415,ola
2024-05-29,203,zomato
2024-05-29,36,auto
2024-05-29,736,clinic
2024-05-30,259,cafe
2024-05-30,275,ola
2024-05-30,1375,lab test
2024-05-31,201,zomato
2024-05-31,56,fuel
2024-06-01,630,swiggy
2024-06-01,1277,dining out
2024-06-01,35000,annual insurance premium - anomaly
2024-06-02,378,zomato
2024-06-02,1090,mall
2024-06-03,20635,monthly rent / EMI
2024-06-03,257,zomato
2024-06-04,450,uber
2024-06-05,157,swiggy
2024-06-05,67,auto
2024-06-06,776,internet bill
2024-06-06,1078,water bill
2024-06-06,57,metro
2024-06-07,214,swiggy
2024-06-07,318,fuel
2024-06-07,1136,lab test
2024-06-08,892,electricity bill
2024-06-08,418,zomato
2024-06-08,1800,spotify
2024-06-09,1228,gas bill
2024-06-09,373,groceries
2024-06-09,3337,mall
2024-06-10,389,zomato
2024-06-10,157,uber
2024-06-11,170,cafe
2024-06-11,243,auto
2024-06-12,151,restaurant
2024-06-12,346,metro
2024-06-13,175,swiggy
2024-06-14,87,swiggy
2024-06-14,256,fuel
2024-06-15,844,zomato
2024-06-16,593,swiggy
2024-06-16,848,dining out
2024-06-17,125,groceries
2024-06-19,347,uber
2024-06-20,408,uber
2024-06-22,730,swiggy
2024-06-22,340,netflix
2024-06-23,455,groceries
2024-06-24,287,zomato
2024-06-24,138,fuel
2024-06-25,1174,lab test
2024-06-26,276,zomato
2024-06-26,118,auto
2024-06-27,31,ola
2024-06-28,334,ola
2024-06-29,761,swiggy
2024-06-30,903,amazon
2024-06-30,1621,spotify
